"GEO_ID","NAME","B25003_001E","B25003_001M","B25003_002E","B25003_002M","B25003_003E","B25003_003M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Owner occupied","Margin of Error!!Total:!!Owner occupied","Estimate!!Total:!!Renter occupied","Margin of Error!!Total:!!Renter occupied",
"0600000US5002177950","Wells town, Rutland County, Vermont","467","97","436","97","31","23",
"0600000US5002180875","West Haven town, Rutland County, Vermont","93","24","84","23","9","9",
"0600000US5002182300","West Rutland town, Rutland County, Vermont","965","144","787","145","178","67",
"0600000US5002303175","Barre city, Washington County, Vermont","4094","281","2062","327","2032","304",
"0600000US5002303250","Barre town, Washington County, Vermont","3525","219","3117","216","408","142",
"0600000US5002305650","Berlin town, Washington County, Vermont","1195","87","1051","92","144","59",
"0600000US5002311125","Cabot town, Washington County, Vermont","571","107","478","90","93","37",
"0600000US5002311350","Calais town, Washington County, Vermont","674","95","623","96","51","21",
"0600000US5002318550","Duxbury town, Washington County, Vermont","624","91","514","92","110","46",
"0600000US5002321925","East Montpelier town, Washington County, Vermont","1150","129","945","144","205","70",
"0600000US5002325825","Fayston town, Washington County, Vermont","547","54","476","55","71","42",
"0600000US5002343600","Marshfield town, Washington County, Vermont","711","96","602","91","109","50",
"0600000US5002344500","Middlesex town, Washington County, Vermont","747","94","722","94","25","14",
"0600000US5002346000","Montpelier city, Washington County, Vermont","3721","215","1976","182","1745","231",
"0600000US5002346225","Moretown town, Washington County, Vermont","656","79","557","76","99","41",
"0600000US5002350275","Northfield town, Washington County, Vermont","2138","193","1572","189","566","138",
"0600000US5002355825","Plainfield town, Washington County, Vermont","585","116","473","65","112","88",
"0600000US5002360625","Roxbury town, Washington County, Vermont","350","96","329","95","21","15",
"0600000US5002375325","Waitsfield town, Washington County, Vermont","854","144","682","140","172","68",
"0600000US5002376525","Warren town, Washington County, Vermont","700","108","607","112","93","47",
"0600000US5002376975","Waterbury town, Washington County, Vermont","2315","199","1635","217","680","209",
"0600000US5002385525","Woodbury town, Washington County, Vermont","294","67","279","65","15","13",
"0600000US5002386125","Worcester town, Washington County, Vermont","404","66","347","61","57","31",
"0600000US5002501900","Athens town, Windham County, Vermont","179","36","132","31","47","24",
"0600000US5002507900","Brattleboro town, Windham County, Vermont","5503","264","3221","342","2282","308",
"0600000US5002509475","Brookline town, Windham County, Vermont","212","33","180","29","32","20",
"0600000US5002517875","Dover town, Windham County, Vermont","697","119","565","121","132","105",
"0600000US5002518325","Dummerston town, Windham County, Vermont","900","137","836","132","64","40",
"0600000US5002528900","Grafton town, Windham County, Vermont","316","53","284","49","32","21",
"0600000US5002530925","Guilford town, Windham County, Vermont","1091","149","874","120","217","87",
