GEOID,town_name,pct_below_poverty,pct_below_poverty_moe,below_poverty_total,below_poverty_total_moe,total_population,total_population_moe
5002116825,Danby town,9.355692850838482,4.608965034107433,106,50,1133,161
5002125375,Fair Haven town,18.906020558002936,7.7836751787685605,515,212,2724,18
5002134450,Hubbardton town,3.9806996381182147,2.4295321654410214,33,18,829,227
5002135425,Ira town,14.435695538057743,10.583805378852192,55,39,381,71
5002137685,Killington town,5.270092226613966,2.722107585333932,40,19,759,154
5002144125,Mendon town,8.176100628930817,7.180637460581085,91,78,1113,213
5002144800,Middletown Springs town,6.0728744939271255,2.306649923234105,45,16,741,99
5002147200,Mount Holly town,11.943462897526501,8.912277948202822,169,123,1415,233
5002147425,Mount Tabor town,10.96345514950166,8.577697009046897,33,23,301,107
5002154250,Pawlet town,9.972862957937584,4.9206334046190605,147,68,1474,253
5002155450,Pittsfield town,8.439897698209718,7.053588761445269,33,26,391,109
5002155600,Pittsford town,11.311589174184594,7.009377558653187,326,202,2882,18
5002156875,Poultney town,8.910188143414981,3.9768471268144534,251,112,2817,28
5002157250,Proctor town,16.220735785953178,8.259989540306277,291,141,1794,281
5002161225,Rutland city,15.31751800700456,2.9612653995901166,2318,448,15133,70
5002161300,Rutland town,10.39160481187612,4.735332884094837,406,185,3907,18
5002165275,Shrewsbury town,6.952303961196443,6.175847874815095,86,74,1237,273
5002171050,Sudbury town,3.5346097201767304,2.913687093610666,24,19,679,156
5002172925,Tinmouth town,13.059250302297462,10.743160628633342,108,85,827,198
5002175925,Wallingford town,6.99912510936133,5.1402109399947795,160,114,2286,407
5002177950,Wells town,15.472027972027972,7.665268600204551,177,79,1144,246
5002180875,West Haven town,10.256410256410255,11.538685269075193,24,26,234,71
5002182300,West Rutland town,6.830357142857142,4.634921742675911,153,101,2240,352
5002303175,Barre city,17.293777134587554,5.825375333391109,1434,483,8292,36
5002303250,Barre town,2.4984384759525295,1.4116344386772715,200,113,8005,22
5002305650,Berlin town,10.894064613072878,4.5841621325519775,290,122,2662,25
5002311125,Cabot town,9.01481004507405,6.0783795117842745,140,89,1553,349
5002311350,Calais town,8.756567425569177,4.079415449620102,150,65,1713,293
5002318550,Duxbury town,2.6588845654993514,1.7176557146038538,41,26,1542,190
