GEOID,town_name,pct_mobile_home,pct_mobile_home_moe,mobile_homes,mobile_homes_moe,total_housing_units,total_housing_units_moe
5000710675,Burlington city,0.8794734222025554,0.6256601478275932,159,113,18079,575
5000713300,Charlotte town,1.2869399428026693,1.4816717694687145,27,31,2098,179
5000714875,Colchester town,9.206672609193939,2.4488993966399906,723,189,7853,386
5000724175,Essex town,1.4614614614614614,1.0439899463293065,73,52,4995,268
5000724400,Essex Junction city,0.9670781893004115,1.5233639044011644,47,74,4860,237
5000733475,Hinesburg town,4.466279589102277,3.9961722739349765,100,89,2239,206
5000734600,Huntington town,8.285385500575373,4.164341725961788,72,35,869,111
5000736700,Jericho town,0.0,0.7035647279549718,0,15,2132,110
5000745250,Milton town,8.0,3.2922704039196318,354,144,4425,276
5000759275,Richmond town,9.720785935884178,4.335369521278742,188,82,1934,180
5000762050,St. George town,31.347962382445143,12.949859671417599,100,35,319,70
5000764300,Shelburne town,6.294085729788389,5.874683058265527,232,216,3686,243
5000766175,South Burlington city,0.0,0.19642303318515453,0,19,9673,420
5000773975,Underhill town,1.086048454469507,1.7619710795186223,13,21,1197,180
5000780350,Westford town,7.091346153846153,3.6829527677415457,59,30,832,88
5000784475,Williston town,6.601005867560771,3.9868227990625624,315,189,4772,330
5000785150,Winooski city,0.141643059490085,0.23623926545729745,6,10,4236,266
5000902125,Averill town,0.0,3.4129692832764507,0,10,293,73
5000902162,Avery's gore,,,0,10,0,10
5000906325,Bloomfield town,22.95918367346939,13.028865389988828,45,24,196,38
5000908725,Brighton town,5.846774193548387,2.261367409676386,58,22,992,75
5000910075,Brunswick town,2.941176470588235,4.9428379093924155,3,5,102,22
5000911800,Canaan town,5.263157894736842,2.6601089685696446,31,15,589,86
5000915250,Concord town,15.918958031837915,5.927330224007004,110,38,691,96
5000921250,East Haven town,22.564102564102566,12.94029941222934,44,23,195,46
5000925975,Ferdinand town,29.6875,31.131223018184993,19,17,64,35
5000929125,Granby town,8.75,8.021029488943423,7,6,80,26
5000930775,Guildhall town,4.245283018867925,3.0156699049688256,9,6,212,52
5000939700,Lemington town,13.414634146341465,14.28421650698238,11,11,82,30
5000939775,Lewis town,,,0,10,0,10
5000941425,Lunenburg town,15.771028037383179,6.024882610707654,135,49,856,102
5000942475,Maidstone town,3.353658536585366,4.012188382870231,11,13,328,61
5000952750,Norton town,9.35672514619883,8.447043534762832,16,14,171,38
5000975175,Victory town,13.953488372093023,13.685556757429826,12,11,86,30
5000976337,Warner's grant,,,0,10,0,10
5000976562,Warren's gore,0.0,66.66666666666666,0,10,15,14
5001102500,Bakersfield town,4.914933837429111,4.407808726604219,26,23,529,78
5001105425,Berkshire town,19.101123595505616,6.5655394793544435,136,43,712,96
5001124050,Enosburgh town,14.232765011119348,5.572312134846568,192,73,1349,126
5001124925,Fairfax town,2.556390977443609,2.4669466317959774,51,49,1995,180
5001125225,Fairfield town,6.64451827242525,2.8609203911800622,60,25,903,98
5001126500,Fletcher town,8.781362007168457,5.852726828950203,49,31,558,117
5001127100,Franklin town,9.288990825688073,4.592304141475608,81,38,872,136
5001127700,Georgia town,1.6145307769929365,1.4688899780778264,32,29,1982,159
5001133025,Highgate town,11.070998796630565,5.763055262993441,184,93,1662,207
5001145850,Montgomery town,0.5076142131979695,0.6434653584355656,4,5,788,166
5001159125,Richford town,10.882110469909316,5.529397448768667,132,65,1213,152
5001161675,St. Albans city,0.9025270758122743,0.8442678949879372,30,28,3324,209
5001161750,St. Albans town,2.3503603885929176,1.9524518834181197,75,62,3191,261
5001164600,Sheldon town,18.65979381443299,20.182834095608158,181,192,970,205
5001171725,Swanton town,8.58296869740828,4.953995039657276,255,146,2971,217
5001300860,Alburgh town,22.69180754226268,7.15795100780709,349,106,1538,131
