GEOID,town_name,total_population,occupied_housing_units,nfip_claims,total_nfip_claims_paid,2011_2022_nfip_claims,2023_plus_nfip_claims,pre_2011_nfip_claims,2011_2022_nfip_claims_count,2023_plus_nfip_claims_count,pre_2011_nfip_claims_count,claims_per_capita,claims_per_housing_unit
5001948850,Newport city,4394,2031,1.0,18063.42,18063.42,0.0,0.0,1.0,0.0,0.0,4.1109285389167045,8.893855243722303
5001948925,Newport town,1601,744,1.0,3363.08,0.0,3363.08,0.0,0.0,1.0,0.0,2.1006121174266084,4.520268817204301
5001350650,North Hero town,1263,518,10.0,158184.33,158184.33,0.0,0.0,8.0,0.0,2.0,125.24491686460807,305.3751544401544
5002350275,Northfield town,5920,2138,27.0,712739.71,656447.27,56292.44,0.0,19.0,8.0,0.0,120.39522128378378,333.36749766136575
5000952750,Norton town,108,56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5002752900,Norwich town,3640,1393,4.0,35411.09,35411.09,0.0,0.0,4.0,0.0,0.0,9.728321428571428,25.420739411342424
5001753425,Orange town,957,401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5000153725,Orwell town,1294,519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5000153950,Panton town,690,264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5002154250,Pawlet town,1480,600,1.0,90000.0,90000.0,0.0,0.0,1.0,0.0,0.0,60.810810810810814,150.0
5000554400,Peacham town,887,410,1.0,45000.0,0.0,45000.0,0.0,0.0,1.0,0.0,50.732807215332585,109.7560975609756
5000355000,Peru town,434,167,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5002155450,Pittsfield town,391,189,2.0,27428.440000000002,27428.440000000002,0.0,0.0,2.0,0.0,0.0,70.14946291560103,145.12402116402117
5002155600,Pittsford town,2892,1391,2.0,48860.05,48860.05,0.0,0.0,2.0,0.0,0.0,16.894899723374827,35.12584471603164
5002355825,Plainfield town,1314,585,16.0,1498801.72,19215.3,1479586.42,0.0,4.0,12.0,0.0,1140.6405783866057,2562.054222222222
5002756050,Plymouth town,533,227,12.0,538179.26,348402.06,189777.2,0.0,5.0,7.0,0.0,1009.7171857410882,2370.8337444933923
5002756350,Pomfret town,908,433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5002156875,Poultney town,3010,1028,5.0,180506.94,180506.94,0.0,0.0,5.0,0.0,0.0,59.969083056478404,175.5904085603113
