"GEO_ID","NAME","B25035_001E","B25035_001M",
"Geography","Geographic Area Name","Estimate!!Median year structure built","Margin of Error!!Median year structure built",
"0600000US5000569925","Stannard town, Caledonia County, Vermont","1977","4",
"0600000US5000571575","Sutton town, Caledonia County, Vermont","1979","5",
"0600000US5000575700","Walden town, Caledonia County, Vermont","1983","4",
"0600000US5000577125","Waterford town, Caledonia County, Vermont","1980","3",
"0600000US5000583500","Wheelock town, Caledonia County, Vermont","1989","7",
"0600000US5000706550","Bolton town, Chittenden County, Vermont","1986","2",
"0600000US5000710300","Buels gore, Chittenden County, Vermont","1995","2",
"0600000US5000710675","Burlington city, Chittenden County, Vermont","1957","3",
"0600000US5000713300","Charlotte town, Chittenden County, Vermont","1982","5",
"0600000US5000714875","Colchester town, Chittenden County, Vermont","1981","3",
"0600000US5000724175","Essex town, Chittenden County, Vermont","1990","4",
"0600000US5000724400","Essex Junction city, Chittenden County, Vermont","1983","3",
"0600000US5000733475","Hinesburg town, Chittenden County, Vermont","1983","2",
"0600000US5000734600","Huntington town, Chittenden County, Vermont","1977","5",
"0600000US5000736700","Jericho town, Chittenden County, Vermont","1983","3",
"0600000US5000745250","Milton town, Chittenden County, Vermont","1985","3",
"0600000US5000759275","Richmond town, Chittenden County, Vermont","1983","4",
"0600000US5000762050","St. George town, Chittenden County, Vermont","1977","4",
"0600000US5000764300","Shelburne town, Chittenden County, Vermont","1986","3",
"0600000US5000766175","South Burlington city, Chittenden County, Vermont","1989","2",
"0600000US5000773975","Underhill town, Chittenden County, Vermont","1979","3",
"0600000US5000780350","Westford town, Chittenden County, Vermont","1982","4",
"0600000US5000784475","Williston town, Chittenden County, Vermont","1993","2",
"0600000US5000785150","Winooski city, Chittenden County, Vermont","1974","5",
"0600000US5000902125","Averill town, Essex County, Vermont","1973","14",
"0600000US5000902162","Avery's gore, Essex County, Vermont","-","**",
"0600000US5000906325","Bloomfield town, Essex County, Vermont","1981","9",
"0600000US5000908725","Brighton town, Essex County, Vermont","1967","10",
"0600000US5000910075","Brunswick town, Essex County, Vermont","1976","8",
"0600000US5000911800","Canaan town, Essex County, Vermont","1972","8",
"0600000US5000915250","Concord town, Essex County, Vermont","1977","4",
"0600000US5000921250","East Haven town, Essex County, Vermont","1973","8",
"0600000US5000925975","Ferdinand town, Essex County, Vermont","1992","13",
"0600000US5000929125","Granby town, Essex County, Vermont","1978","9",
"0600000US5000930775","Guildhall town, Essex County, Vermont","1958","8",
"0600000US5000939700","Lemington town, Essex County, Vermont","1967","16",
"0600000US5000939775","Lewis town, Essex County, Vermont","-","**",
"0600000US5000941425","Lunenburg town, Essex County, Vermont","1972","6",
"0600000US5000942475","Maidstone town, Essex County, Vermont","1971","10",
"0600000US5000952750","Norton town, Essex County, Vermont","1974","9",
"0600000US5000975175","Victory town, Essex County, Vermont","1986","12",
"0600000US5000976337","Warner's grant, Essex County, Vermont","-","**",
"0600000US5000976562","Warren's gore, Essex County, Vermont","1968","26",
"0600000US5001102500","Bakersfield town, Franklin County, Vermont","1982","3",
"0600000US5001105425","Berkshire town, Franklin County, Vermont","1979","4",
"0600000US5001124050","Enosburgh town, Franklin County, Vermont","1972","15",
"0600000US5001124925","Fairfax town, Franklin County, Vermont","1994","7",
"0600000US5001125225","Fairfield town, Franklin County, Vermont","1984","3",
"0600000US5001126500","Fletcher town, Franklin County, Vermont","1987","5",
